Sentiment	PhraseId
2	156061
2	156062
2	156063
1	156064
1	156065
3	156066
3	156067
1	156068
3	156069
2	156070
2	156071
2	156072
2	156073
2	156074
2	156075
2	156076
2	156077
2	156078
2	156079
2	156080
2	156081
2	156082
2	156083
2	156084
2	156085
2	156086
2	156087
2	156088
2	156089
2	156090
3	156091
2	156092
2	156093
3	156094
2	156095
3	156096
1	156097
2	156098
2	156099
2	156100
2	156101
3	156102
2	156103
2	156104
2	156105
2	156106
2	156107
2	156108
2	156109
2	156110
2	156111
2	156112
2	156113
2	156114
2	156115
2	156116
2	156117
1	156118
2	156119
2	156120
2	156121
2	156122
2	156123
2	156124
2	156125
2	156126
2	156127
2	156128
2	156129
2	156130
2	156131
2	156132
2	156133
2	156134
2	156135
2	156136
2	156137
1	156138
1	156139
1	156140
1	156141
2	156142
2	156143
2	156144
2	156145
2	156146
2	156147
2	156148
2	156149
2	156150
2	156151
2	156152
2	156153
2	156154
1	156155
2	156156
2	156157
2	156158
2	156159
2	156160
2	156161
2	156162
2	156163
2	156164
3	156165
4	156166
2	156167
4	156168
2	156169
2	156170
3	156171
3	156172
2	156173
3	156174
3	156175
2	156176
2	156177
0	156178
2	156179
1	156180
1	156181
2	156182
0	156183
2	156184
2	156185
2	156186
2	156187
2	156188
2	156189
2	156190
2	156191
2	156192
2	156193
2	156194
2	156195
2	156196
2	156197
2	156198
2	156199
2	156200
2	156201
2	156202
2	156203
2	156204
2	156205
3	156206
1	156207
2	156208
1	156209
1	156210
2	156211
2	156212
2	156213
2	156214
2	156215
2	156216
2	156217
2	156218
3	156219
2	156220
3	156221
3	156222
1	156223
1	156224
1	156225
2	156226
2	156227
2	156228
2	156229
2	156230
2	156231
2	156232
2	156233
2	156234
2	156235
4	156236
2	156237
4	156238
3	156239
4	156240
2	156241
2	156242
3	156243
3	156244
3	156245
3	156246
3	156247
3	156248
2	156249
2	156250
2	156251
1	156252
1	156253
1	156254
2	156255
2	156256
2	156257
2	156258
3	156259
2	156260
2	156261
3	156262
3	156263
3	156264
2	156265
3	156266
2	156267
3	156268
2	156269
2	156270
2	156271
3	156272
2	156273
3	156274
3	156275
4	156276
4	156277
3	156278
3	156279
3	156280
3	156281
3	156282
3	156283
2	156284
2	156285
3	156286
3	156287
3	156288
3	156289
2	156290
2	156291
2	156292
2	156293
2	156294
2	156295
2	156296
2	156297
2	156298
3	156299
2	156300
2	156301
2	156302
2	156303
2	156304
2	156305
2	156306
2	156307
2	156308
2	156309
2	156310
2	156311
2	156312
2	156313
2	156314
2	156315
2	156316
2	156317
2	156318
2	156319
3	156320
2	156321
2	156322
2	156323
3	156324
2	156325
2	156326
2	156327
3	156328
3	156329
2	156330
2	156331
2	156332
3	156333
2	156334
2	156335
2	156336
3	156337
3	156338
3	156339
2	156340
2	156341
2	156342
2	156343
2	156344
2	156345
3	156346
3	156347
3	156348
3	156349
3	156350
2	156351
2	156352
2	156353
2	156354
2	156355
3	156356
3	156357
3	156358
2	156359
3	156360
2	156361
0	156362
2	156363
0	156364
0	156365
1	156366
0	156367
0	156368
1	156369
1	156370
1	156371
1	156372
2	156373
3	156374
3	156375
2	156376
1	156377
3	156378
2	156379
1	156380
1	156381
2	156382
2	156383
2	156384
2	156385
2	156386
2	156387
2	156388
2	156389
2	156390
2	156391
2	156392
2	156393
2	156394
2	156395
3	156396
3	156397
2	156398
3	156399
1	156400
2	156401
2	156402
1	156403
1	156404
3	156405
3	156406
3	156407
3	156408
2	156409
3	156410
3	156411
2	156412
2	156413
2	156414
2	156415
2	156416
3	156417
3	156418
3	156419
2	156420
2	156421
2	156422
3	156423
3	156424
3	156425
3	156426
2	156427
2	156428
2	156429
2	156430
0	156431
1	156432
1	156433
2	156434
2	156435
2	156436
2	156437
2	156438
2	156439
2	156440
2	156441
2	156442
2	156443
2	156444
2	156445
0	156446
2	156447
0	156448
2	156449
2	156450
0	156451
0	156452
0	156453
1	156454
1	156455
1	156456
2	156457
2	156458
2	156459
2	156460
2	156461
2	156462
2	156463
2	156464
2	156465
2	156466
2	156467
2	156468
2	156469
2	156470
3	156471
3	156472
1	156473
2	156474
1	156475
1	156476
2	156477
3	156478
2	156479
2	156480
2	156481
2	156482
2	156483
2	156484
2	156485
2	156486
1	156487
1	156488
1	156489
2	156490
2	156491
2	156492
